#汉字	频率	累计频率(%)	拼音
满	123653	69.69618066	man3
容	123566	69.7439167	rong2
单	123501	69.79162762	chan2/dan1/shan4
联	123453	69.83932001	lian2
调	122803	69.88676129	diao4/tiao2
吃	122554	69.93410637	chi1/ji2
古	122494	69.98142828	gu3
算	121931	70.02853268	suan4
坐	121890	70.07562125	zuo4
早	121847	70.1226932	zao3
引	121804	70.16974855	yin3
须	121400	70.21664782	xu1
离	121221	70.26347794	li2
证	121209	70.31030342	zheng4
约	121133	70.35709954	yao1/yue1
母	121012	70.40384892	mu3
组	120475	70.45039084	zu3
房	120181	70.49681919	fang2
曾	119499	70.54298407	ceng2/zeng1
似	119441	70.58912653	si4
易	118224	70.63479885	yi4
随	118171	70.68045069	sui2
精	117952	70.72601793	jing1
视	117502	70.77141133	shi4
尚	117388	70.81676068	shang4
断	117385	70.86210888	duan4
乃	117379	70.90745475	nai3
影	117184	70.9527253	ying3
除	117112	70.99796803	chu2
青	116992	71.0431644	qing1
初	116823	71.08829548	chu1
息	116306	71.13322683	xi1
守	116132	71.17809097	shou3
党	116040	71.22291956	dang3
半	114901	71.26730814	ban4
县	114515	71.31154759	xian4
轻	114377	71.35573374	qing1
质	114302	71.39989091	zhi4
语	114237	71.44402297	yu3/yu4
越	114128	71.48811292	yue4
况	114068	71.53217969	kuang4
举	113874	71.57617151	ju3
皇	113416	71.6199864	huang2
钱	113334	71.66376961	qian2
历	113321	71.7075478	li4
留	113227	71.75128968	liu2
乐	113092	71.7949794	le4/yue4
章	113000	71.83863358	zhang1
照	112533	71.88210735	zhao4
器	112052	71.9253953	qi4
写	112037	71.96867745	xie3
团	111293	72.01167219	tuan2
诸	110849	72.05449539	zhu1
闻	110496	72.09718223	wen2
亦	110468	72.13985824	yi4
足	110170	72.18241914	zu2
余	109832	72.22484946	yu2
整	109736	72.26724269	zheng3
价	109581	72.30957604	jia4/jie
号	109496	72.35187656	hao2/hao4
级	109401	72.39414037	ji2
参	109382	72.43639684	can1/shen1
示	109081	72.47853704	shi4
支	108523	72.52046166	zhi1
红	108480	72.56236967	hong2
阿	108394	72.60424446	a1/a4/a/e1
消	107995	72.64596511	xiao1
图	107977	72.68767881	tu2
